Symbol,Name,Market Capital,CEO,Employees,Headquarters,Founded,Industry,Source,Source Link,ceo_indian_origin
A,Agilent Technologies Inc. Common Stock,31908696087.0,Padraig McDonnell,"18,000","Santa Clara, CaliforniaUnited States",1999,Medical Equipment/Supplies,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/A/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/A:NYSE?hl=en",no
AA,Alcoa Corporation Common Stock,6930815588.0,,"13,900","201 Isabella Street, Suite 500 Pittsburgh, PA 15212 United States",1886,Aluminum,"CNBC,Market Watch,Google Finance","https://www.google.com/finance/quote/AA:NYSE?hl=en,https://www.marketwatch.com/investing/stock/AA/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AA",
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,0.0,Boon Sim,1,"3 Columbus Circle, Suite 1609 New York, NY 10019 United States",2024,Shell companies,"CNBC,Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/AACB/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/AACB:NASDAQ?hl=en,https://www.cnbc.com/quotes/AACB",no
AACBR,Artius II Acquisition Inc. Rights,0.0,Boon Sim,1,"3 Columbus Circle, Suite 1609 New York, NY 10019 United States",,Shell companies,"CNBC,Market Watch","https://www.cnbc.com/quotes/AACBR,https://www.marketwatch.com/investing/stock/AACBR/company-profile?mod=mw_quote_tab",no
AACBU,Artius II Acquisition Inc. Units,0.0,Boon Sim,1,"3 Columbus Circle, Suite 1609 New York, NY 10019 United States",,Shell companies,"CNBC,Market Watch","https://www.cnbc.com/quotes/AACBU,https://www.marketwatch.com/investing/stock/AACBU/company-profile?mod=mw_quote_tab",no
AACG,ATA Creativity Global American Depositary Shares,28082021.0,Xiaofeng Ma,599,"1/F East Gate, Building No.2 Jian Wai Soho,No.39 Dng Sn Hn Zhng Rd Chao Yang District Hefei, ANH 230051 China",1999,,"CNBC,Google Finance","https://www.cnbc.com/quotes/AACG,https://www.google.com/finance/quote/AACG:NASDAQ?hl=en",no
AACIU,Armada Acquisition Corp. II Units,0.0,Stephen Herbert,,"C/O Ogier Global (Cayman) Limi 89 Nexus Way, Carmana Bay Grand Cayman 19103 Cayman Islands",2024,,"CNBC,Google Finance","https://www.google.com/finance/quote/AACIU:NASDAQ?hl=en,https://www.cnbc.com/quotes/AACIU",no
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,0.0,,,"C/O Ares Management Llc 245 Park Avenue, 42Nd Floor New York, NY 10167 United States",2021,,"CNBC,Google Finance","https://www.cnbc.com/quotes/AACT,https://www.google.com/finance/quote/AACT:NYSE?hl=en",
AAL,American Airlines Group Inc. Common Stock,7525035811.0,Robert Isom,"133,100","Fort Worth, TexasUnited States","Dec 9, 2013",,Google Finance,https://www.google.com/finance/quote/AAL:NASDAQ?hl=en,yes
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,0.0,Qing Sun,,"21 Waterway Avenue, Ste 300 #9732 The Woodlands, TX 77380 United States",2024,,"CNBC,Google Finance","https://www.google.com/finance/quote/AAM:NYSE?hl=en,https://www.cnbc.com/quotes/AAM",no
AAME,Atlantic American Corporation Common Stock,34471315.0,Hilton Howell Jr.,155,"Atlanta, GeorgiaUnited States",1968,,"CNBC,Google Finance","https://www.google.com/finance/quote/AAME:NASDAQ?hl=en,https://www.cnbc.com/quotes/AAME",no
AAMI,Acadian Asset Management Inc. Common Stock,1077795730.0,,383,"Boston, MassachusettsUnited States",1980,,Google Finance,https://www.google.com/finance/quote/AAMI:NYSE?hl=en,
AAOI,Applied Optoelectronics Inc. Common Stock,856493939.0,Chih-Hsiang Lin Ph.D.,"3,309","Sugar Land, TexasUnited States",1997,,Google Finance,https://www.google.com/finance/quote/AAOI:NASDAQ?hl=en,no
AAON,AAON Inc. Common Stock,7834745428.0,Gary D. Fields,"4,812","Tulsa, OklahomaUnited States",1988,,Google Finance,https://www.google.com/finance/quote/AAON:NASDAQ?hl=en,no
AAP,Advance Auto Parts Inc.,2872235781.0,Shane O’Kelly,"48,000","Raleigh, North CarolinaUnited States","Apr 29, 1932",,Google Finance,https://www.google.com/finance/quote/AAP:NYSE?hl=en,yes
AAPG,Ascentage Pharma Group International American Depository Shares,2124426138.0,Dajun Yang,567,"68 Xinqing Road, Suzhou Industrial Park Suzhou, JNG China",2009,,"CNBC,Google Finance","https://www.cnbc.com/quotes/AAPG,https://www.google.com/finance/quote/AAPG:NASDAQ?hl=en",yes
AAPL,Apple Inc. Common Stock,2999860652100.0,Tim Cook,"164,000","Cupertino, CaliforniaUnited States","Apr 1, 1976",,Google Finance,https://www.google.com/finance/quote/AAPL:NASDAQ?hl=en,no
AARD,Aardvark Therapeutics Inc. Common Stock,226505405.0,Tien-Li Lee M.D.,26,"4370 La Jolla Village Drive, Suite 1050 San Diego, CA 92122 United States",2017,,"CNBC,Google Finance","https://www.cnbc.com/quotes/AARD,https://www.google.com/finance/quote/AARD:NASDAQ?hl=en",no
AAT,American Assets Trust Inc. Common Stock,1219026516.0,,230,"3420 Carmel Mountain Road, Suite 100 San Diego, CA 92121 United States",1967,,"CNBC,Google Finance","https://www.cnbc.com/quotes/AAT,https://www.google.com/finance/quote/AAT:NYSE?hl=en",
AB,AllianceBernstein Holding L.P.  Units,4422452975.0,,"4,341","Nashville, TennesseeUnited States",1967,,Google Finance,https://www.google.com/finance/quote/AB:NYSE?hl=en,
ABAT,American Battery Technology Company Common Stock,120371200.0,,96,"Reno, NevadaUnited States",2011,,Google Finance,https://www.google.com/finance/quote/ABAT:NASDAQ?hl=en,
ABBV,AbbVie Inc. Common Stock,328745267355.0,Robert Michael CPA,"55,000","North Chicago, IllinoisUnited States","Apr 10, 2012",,"CNBC,Google Finance","https://www.google.com/finance/quote/ABBV:NYSE?hl=en,https://www.cnbc.com/quotes/ABBV",no
ABCB,Ameris Bancorp Common Stock,4235954498.0,,"2,710","3490 Piedmont Rd NE Ste 1550 Atlanta, GA 30305-4800 United States","Dec 18, 1980",,"CNBC,Google Finance","https://www.cnbc.com/quotes/ABCB,https://www.google.com/finance/quote/ABCB:NYSE?hl=en",
ABCL,AbCellera Biologics Inc. Common Shares,595224375.0,Carl Hansen,596,"Vancouver, British ColumbiaCanada",2012,,Google Finance,https://www.google.com/finance/quote/ABCL:NASDAQ?hl=en,yes
ABEO,Abeona Therapeutics Inc. Common Stock,319218033.0,,136,"Cleveland, OhioUnited States",1974,,Google Finance,https://www.google.com/finance/quote/ABEO:NASDAQ?hl=en,
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),38202004509.0,Carlos Eduardo Klutzenschell Lisboa,"43,000","São Paulo, State of São PauloBrazil","Jul 1, 1999",,Google Finance,https://www.google.com/finance/quote/ABEV:NYSE?hl=en,yes
ABG,Asbury Automotive Group Inc Common Stock,4480519156.0,David W. Hult,"15,000","Duluth, GeorgiaUnited States",1996,,Google Finance,https://www.google.com/finance/quote/ABG:NYSE?hl=en,no
ABL,Abacus Global Management Inc. Class A Common Stock,748673991.0,Jay Jackson,157,"Orlando, FloridaUnited States",2004,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ABL,https://www.google.com/finance/quote/ABL:NASDAQ?hl=en",no
ABLLL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,1900623295.0,Jay Jackson,157,"Orlando, FloridaUnited States",2004,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ABLLL,https://www.google.com/finance/quote/ABLLL:NASDAQ?hl=en",no
ABLLW,Abacus Global Management Inc. Warrant,156901923.0,Jay Jackson,157,"Orlando, FloridaUnited States",2004,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ABLLW,https://www.google.com/finance/quote/ABLLW:NASDAQ?hl=en",no
ABLV,Able View Global Inc. Class B Ordinary Shares,58280108.0,Zhifan Zhou,89,"Room 1803, 511 Weihai Road Shanghai, SHA 200041 China",2022,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ABLV,https://www.google.com/finance/quote/ABLV:NASDAQ?hl=en",no
ABLVW,Able View Global Inc. Warrant,696398.0,Zhifan Zhou,89,"Room 1803, 511 Weihai Road Shanghai, SHA 200041 China",2022,,"CNBC,Google Finance","https://www.cnbc.com/quotes/ABLVW,https://www.google.com/finance/quote/ABLVW:NASDAQ?hl=en",no
ABM,ABM Industries Incorporated Common Stock,3276485158.0,Scott Salmirs,"117,000","New York, New YorkUnited States",1909,,Google Finance,https://www.google.com/finance/quote/ABM:NYSE?hl=en,yes
ABNB,Airbnb Inc. Class A Common Stock,80807245395.0,Brian Chesky,"7,300","San Francisco, CaliforniaUnited States",2007,,Google Finance,https://www.google.com/finance/quote/ABNB:NASDAQ?hl=en,no
ABOS,Acumen Pharmaceuticals Inc. Common Stock,61784894.0,,61,"Charlottesville, VirginiaUnited States","Jan 1, 1996",,Google Finance,https://www.google.com/finance/quote/ABOS:NASDAQ?hl=en,
ABP,Abpro Holdings Inc Common Stock,12990240.0,Jin Wook Suk,11,"Woburn, MassachusettsUnited States",2004,,"CNBC,Google Finance","https://www.google.com/finance/quote/ABP:NASDAQ?hl=en,https://www.cnbc.com/quotes/ABP",no
