Symbol;Name;Market Capital;CEO;Employees;Headquarters;Founded;Industry;Source;Source Link
A;Agilent Technologies Inc. Common Stock;30942197876.00;;17,9;5301 Stevens Creek Blvd Santa Clara, CA 95051 United States;;Medical Equipment/Supplies;CNBC,Market Watch;https://www.cnbc.com/quotes/A,https://www.marketwatch.com/investing/stock/A/company-profile?mod=mw_quote_tab
AA;Alcoa Corporation Common Stock ;7267388628.00;;13,9;201 Isabella Street, Suite 500 Pittsburgh, PA 15212 United States;;Aluminum;CNBC,Market Watch;https://www.cnbc.com/quotes/AA,https://www.marketwatch.com/investing/stock/AA/company-profile?mod=mw_quote_tab
AACB;Artius II Acquisition Inc. Class A Ordinary Shares;0.00;Boon Sim;;3 Columbus Circle, Suite 1609 New York, NY 10019 United States;;;CNBC;https://www.cnbc.com/quotes/AACB
AACBR;Artius II Acquisition Inc. Rights;0.00;Boon Sim;1;3 Columbus Circle, Suite 1609 New York, NY 10019 United States;;Shell companies;CNBC,Market Watch;https://www.marketwatch.com/investing/stock/AACBR/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AACBR
AACBU;Artius II Acquisition Inc. Units;0.00;Boon Sim;1;3 Columbus Circle, Suite 1609 New York, NY 10019 United States;;Shell companies;CNBC,Market Watch;https://www.marketwatch.com/investing/stock/AACBU/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AACBU
AACG;ATA Creativity Global American Depositary Shares;29163817.00;Xiaofeng Ma;599;1/F East Gate, Building No.2 Jian Wai Soho,No.39 Dng Sn Hn Zhng Rd Chao Yang District Hefei, ANH 230051 China;;Employment/Training Services;CNBC,Market Watch;https://www.cnbc.com/quotes/AACG,https://www.marketwatch.com/investing/stock/AACG/company-profile?mod=mw_quote_tab
AACIU;Armada Acquisition Corp. II Units;0.00;;;;;;;
AACT;Ares Acquisition Corporation II Class A Ordinary Shares;0.00;David Benjamin Kaplan;4;C/O Ares Management Llc 245 Park Avenue, 42Nd Floor New York, NY 10167 United States;;Shell companies;CNBC,Market Watch;https://www.cnbc.com/quotes/AACT,https://www.marketwatch.com/investing/stock/AACT/company-profile?mod=mw_quote_tab
AAL;American Airlines Group Inc. Common Stock;7379943096.00;;133,3;1 Skyview Drive Fort Worth, TX 76155 United States;;Passenger Airlines;CNBC,Market Watch;https://www.cnbc.com/quotes/AAL,https://www.marketwatch.com/investing/stock/AAL/company-profile?mod=mw_quote_tab
AAM;AA Mission Acquisition Corp. Class A Ordinary Shares;0.00;Qing Sun;2;21 Waterway Avenue, Ste 300 #9732 The Woodlands, TX 77380 United States;;Shell companies;CNBC,Market Watch;https://www.marketwatch.com/investing/stock/AAM/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AAM
