Symbol,Name,Market Capital,CEO,Employees,Headquarters,Founded,Industry,Source,Source Link
A,Agilent Technologies Inc. Common Stock,35695573720.00,,"17,900","5301 Stevens Creek Blvd Santa Clara, CA 95051 United States",,Medical Equipment/Supplies,"CNBC,Market Watch","https://www.marketwatch.com/investing/stock/A/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/A"
AA,Alcoa Corporation Common Stock ,8334464933.00,,"13,900","201 Isabella Street, Suite 500 Pittsburgh, PA 15212 United States",,Aluminum,"CNBC,Market Watch","https://www.marketwatch.com/investing/stock/AA/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AA"
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,0.00,Boon Sim,1,"3 Columbus Circle, Suite 1609 New York, NY 10019 United States",,Shell companies,"CNBC,Market Watch","https://www.cnbc.com/quotes/AACB,https://www.marketwatch.com/investing/stock/AACB/company-profile?mod=mw_quote_tab"
AACBR,Artius II Acquisition Inc. Rights,0.00,Boon Sim,1,"3 Columbus Circle, Suite 1609 New York, NY 10019 United States",,Shell companies,"CNBC,Market Watch","https://www.cnbc.com/quotes/AACBR,https://www.marketwatch.com/investing/stock/AACBR/company-profile?mod=mw_quote_tab"
AACBU,Artius II Acquisition Inc. Units,0.00,Boon Sim,1,"3 Columbus Circle, Suite 1609 New York, NY 10019 United States",,Shell companies,"CNBC,Market Watch","https://www.marketwatch.com/investing/stock/AACBU/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AACBU"
AACG,ATA Creativity Global American Depositary Shares,69247710.00,Xiaofeng Ma,599,"1/F East Gate, Building No.2 Jian Wai Soho,No.39 Dng Sn Hn Zhng Rd Chao Yang District Hefei, ANH 230051 China",,Employment/Training Services,"CNBC,Market Watch","https://www.cnbc.com/quotes/AACG,https://www.marketwatch.com/investing/stock/AACG/company-profile?mod=mw_quote_tab"
AACI,Armada Acquisition Corp. II Class A Ordinary Shares,0.00,Stephen Herbert,,"C/O Ogier Global (Cayman) Limited 89 Nexus Way, Carmana Bay Grand Cayman 19103 Cayman Islands",,Shell companies,"CNBC,Market Watch","https://www.cnbc.com/quotes/AACI,https://www.marketwatch.com/investing/stock/AACI/company-profile?mod=mw_quote_tab"
AACIU,Armada Acquisition Corp. II Units,0.00,Stephen Herbert,,"C/O Ogier Global (Cayman) Limited 89 Nexus Way, Carmana Bay Grand Cayman 19103 Cayman Islands",,Shell companies,"CNBC,Market Watch","https://www.marketwatch.com/investing/stock/AACIU/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AACIU"
AACIW,Armada Acquisition Corp. II Warrant,0.00,Stephen Herbert,,"C/O Ogier Global (Cayman) Limited 89 Nexus Way, Carmana Bay Grand Cayman 19103 Cayman Islands",,Shell companies,"CNBC,Market Watch","https://www.cnbc.com/quotes/AACIW,https://www.marketwatch.com/investing/stock/AACIW/company-profile?mod=mw_quote_tab"
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,0.00,David Benjamin Kaplan,4,"C/O Ares Management Llc 245 Park Avenue, 44Th Floor New York, NY 10167 United States",,Shell companies,"CNBC,Market Watch","https://www.marketwatch.com/investing/stock/AACT/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AACT"
