Symbol,Name,Market Capital,CEO,Employees,Headquarters,Founded,Industry,Source,Source Link
A,Agilent Technologies Inc. Common Stock,34049418622.00,Padraig Mcdonnell,"17,900","5301 Stevens Creek Blvd Santa Clara, CA 95051 United States",,Medical Equipment/Supplies,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/A/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/A?tab=profile"
AA,Alcoa Corporation Common Stock ,7713069598.00,William Oplinger,"13,900","201 Isabella Street, Suite 500 Pittsburgh, PA 15212 United States",,Aluminum,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/AA/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AA?tab=profile"
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,0.00,Boon Sim,1,"3 Columbus Circle, Suite 1609 New York, NY 10019 United States",,Shell companies,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/AACB/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AACB?tab=profile"
AACBR,Artius II Acquisition Inc. Rights,0.00,Boon Sim,1,"3 Columbus Circle, Suite 1609 New York, NY 10019 United States",,Shell companies,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/AACBR?tab=profile,https://www.marketwatch.com/investing/stock/AACBR/company-profile?mod=mw_quote_tab"
AACBU,Artius II Acquisition Inc. Units,0.00,Boon Sim,1,"3 Columbus Circle, Suite 1609 New York, NY 10019 United States",,Shell companies,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/AACBU/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AACBU?tab=profile"
AACG,ATA Creativity Global American Depositary Shares,57440497.00,Xiaofeng Ma,599,"1/F East Gate, Building No.2 Jian Wai Soho,No.39 Dng Sn Hn Zhng Rd Chao Yang District Hefei, ANH 230051 China",,Employment/Training Services,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/AACG/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AACG?tab=profile"
AACI,Armada Acquisition Corp. II Class A Ordinary Shares,0.00,Stephen Herbert,,"C/O Ogier Global (Cayman) Limited 89 Nexus Way, Carmana Bay Grand Cayman 19103 Cayman Islands",,Shell companies,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/AACI?tab=profile,https://www.marketwatch.com/investing/stock/AACI/company-profile?mod=mw_quote_tab"
AACIU,Armada Acquisition Corp. II Units,0.00,Stephen Herbert,,"C/O Ogier Global (Cayman) Limited 89 Nexus Way, Carmana Bay Grand Cayman 19103 Cayman Islands",,Shell companies,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/AACIU?tab=profile,https://www.marketwatch.com/investing/stock/AACIU/company-profile?mod=mw_quote_tab"
AACIW,Armada Acquisition Corp. II Warrant,0.00,Stephen Herbert,,"C/O Ogier Global (Cayman) Limited 89 Nexus Way, Carmana Bay Grand Cayman 19103 Cayman Islands",,Shell companies,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/AACIW?tab=profile,https://www.marketwatch.com/investing/stock/AACIW/company-profile?mod=mw_quote_tab"
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,0.00,David Benjamin Kaplan,4,"C/O Ares Management Llc 245 Park Avenue, 42Nd Floor New York, NY 10167 United States",,Shell companies,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/AACT?tab=profile,https://www.marketwatch.com/investing/stock/AACT/company-profile?mod=mw_quote_tab"
AAL,American Airlines Group Inc. Common Stock,8680048140.00,Robert Isom Jr.,"133,300","1 Skyview Drive Fort Worth, TX 76155 United States",,Passenger Airlines,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/AAL?tab=profile,https://www.marketwatch.com/investing/stock/AAL/company-profile?mod=mw_quote_tab"
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,0.00,Qing Sun,2,"21 Waterway Avenue, Ste 300 #9732 The Woodlands, TX 77380 United States",,Shell companies,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/AAM/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AAM?tab=profile"
AAME,Atlantic American Corporation Common Stock,70452026.00,Hilton Howell Jr.,156,"4370 Peachtree Rd Ne Atlanta, GA 30319 United States",,Life Insurance,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/AAME?tab=profile,https://www.marketwatch.com/investing/stock/AAME/company-profile?mod=mw_quote_tab"
AAMI,Acadian Asset Management Inc. Common Stock,1692829128.00,Kelly-Ann Young,383,"200 STATE STREET, 13TH FLOOR Boston, MA 02109 United States",,Investment Advisors,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/AAMI/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AAMI?tab=profile"
AAOI,Applied Optoelectronics Inc. Common Stock,1414185227.00,Chih-Hsiang Lin Ph.D.,"3,309","13139 Jess Pirtle Blvd Sugar Land, TX 77478 United States",,Networking,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/AAOI?tab=profile,https://www.marketwatch.com/investing/stock/AAOI/company-profile?mod=mw_quote_tab"
AAON,AAON Inc. Common Stock,6634151106.00,Matthew Tobolski Ph.D.,"4,812","2425 South Yukon Ave. Tulsa, OK 74107 United States",,Building Materials/Products,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/AAON?tab=profile,https://www.marketwatch.com/investing/stock/AAON/company-profile?mod=mw_quote_tab"
AAP,Advance Auto Parts Inc.,3354958086.00,Shane O'Kelly,"62,800","4200 Six Forks Road Raleigh, NC 27609 United States",,Specialty Retail,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/AAP?tab=profile,https://www.marketwatch.com/investing/stock/AAP/company-profile?mod=mw_quote_tab"
AAPG,Ascentage Pharma Group International American Depository Shares,4074718986.00,"Dajun Yang M.D., Ph.D.",567,"68 Xinqing Road, Suzhou Industrial Park Suzhou, JNG China",,Biotechnology,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/AAPG/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AAPG?tab=profile"
AAPL,Apple Inc. Common Stock,3414996344850.00,Timothy Cook,"164,000","One Apple Park Way Cupertino, CA 95014 United States",,Computers/Consumer Electronics,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/AAPL/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AAPL?tab=profile"
AARD,Aardvark Therapeutics Inc. Common Stock,219355588.00,Tien-Li Lee M.D.,22,"4370 La Jolla Village Drive, Suite 1050 San Diego, CA 92122 United States",,Biotechnology,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/AARD?tab=profile,https://www.marketwatch.com/investing/stock/AARD/company-profile?mod=mw_quote_tab"
AAT,American Assets Trust Inc. Common Stock,1212960671.00,Adam Wyll,226,"3420 Carmel Mountain Road, Suite 100 San Diego, CA 92121 United States",,Diversified REITs,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/AAT?tab=profile,https://www.marketwatch.com/investing/stock/AAT/company-profile?mod=mw_quote_tab"
AAUC,Allied Gold Corporation Common Shares,1469619000.00,Peter J. Marrone,N/A,"Royal Bank Plaza North Tower, 200 Bay Street, Suite 2200 Toronto, ON M5J 2T3 Canada",,Gold,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/AAUC/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/AAUC?tab=profile"
AB,AllianceBernstein Holding L.P.  Units,4392962124.00,Seth Bernstein,"4,341","501 Commerce Street Nashville, TN 37203 United States",,Investment Advisors,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/AB?tab=profile,https://www.marketwatch.com/investing/stock/AB/company-profile?mod=mw_quote_tab"
ABAT,American Battery Technology Company Common Stock,224202845.00,Ryan Melsert,98,"100 WASHINGTON STREET, SUITE 100 Reno, NV 89503 United States",,General Mining,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/ABAT?tab=profile,https://www.marketwatch.com/investing/stock/ABAT/company-profile?mod=mw_quote_tab"
ABBV,AbbVie Inc. Common Stock,362815734001.00,Robert Michael CPA,"55,000","1 N Waukegan Rd North Chicago, IL 60064 United States",,Biotechnology,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ABBV/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ABBV?tab=profile"
ABCB,Ameris Bancorp Common Stock,4824398888.00,H. Proctor Jr.,"2,691","3490 Piedmont Rd NE Ste 1550 Atlanta, GA 30305-4800 United States",,Banking,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ABCB/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ABCB?tab=profile"
ABCL,AbCellera Biologics Inc. Common Shares,1280321737.00,Carl Hansen Ph.D.,596,"150 W 4Th Avenue Vancouver, BC V5Y 1G6 Canada",,Biotechnology,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ABCL/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ABCL?tab=profile"
ABEO,Abeona Therapeutics Inc. Common Stock,349976029.00,Vishwas Seshadri Ph.D.,136,"6555 CARNEGIE AVE, 4TH FLOOR Cleveland, OH 44103 United States",,Biotechnology,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ABEO/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ABEO?tab=profile"
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),33896450722.00,Carlos Lisboa,"43,000","Rua Dr. Renato Paes de Barros 1.017, 4 andar, Itaim Bibi Sao Paulo 04.530-001 Brazil",,Alcoholic Beverages/Drinks,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ABEV/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ABEV?tab=profile"
ABG,Asbury Automotive Group Inc Common Stock,4752959237.00,David Hult,"15,000","SUITE 300, 2905 PREMIERE PARKWAY NW Duluth, GA 30097 United States",,Specialty Retail,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/ABG?tab=profile,https://www.marketwatch.com/investing/stock/ABG/company-profile?mod=mw_quote_tab"
ABL,Abacus Global Management Inc. Class A Common Stock,626067117.00,Jay Jackson,157,"2101 Park Center Drive, Suite 200 Orlando, FL 32835 United States",,Life Insurance,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ABL/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ABL?tab=profile"
ABLLL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,1882706971.00,Jay Jackson,157,"2101 Park Center Drive, Suite 200 Orlando, FL 32835 United States",,Life Insurance,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/ABLLL?tab=profile,https://www.marketwatch.com/investing/stock/ABLLL/company-profile?mod=mw_quote_tab"
ABLV,Able View Global Inc. Class B Ordinary Shares,45043609.00,Zhifan Zhou,89,"Room 1803, 511 Weihai Road Shanghai, SHA 200041 China",,Advertising/Marketing/Public Relations,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/ABLV?tab=profile,https://www.marketwatch.com/investing/stock/ABLV/company-profile?mod=mw_quote_tab"
ABLVW,Able View Global Inc. Warrant,1471820.00,Zhifan Zhou,89,"Room 1803, 511 Weihai Road Shanghai, SHA 200041 China",,Advertising/Marketing/Public Relations,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/ABLVW?tab=profile,https://www.marketwatch.com/investing/stock/ABLVW/company-profile?mod=mw_quote_tab"
ABM,ABM Industries Incorporated Common Stock,2990875377.00,Scott Salmirs,"117,000","One Liberty Plaza, 7Th Floor New York, NY 10006 United States",,Diversified Business Services,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ABM/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ABM?tab=profile"
ABNB,Airbnb Inc. Class A Common Stock,78201961861.00,Brian Chesky,"7,300","888 Brannan St. San Francisco, CA 94103 United States",,Hotels,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/ABNB?tab=profile,https://www.marketwatch.com/investing/stock/ABNB/company-profile?mod=mw_quote_tab"
ABOS,Acumen Pharmaceuticals Inc. Common Stock,84499928.00,Daniel O'Connell,61,"1210-1220 Washington Street, Suite 210 Newton, MA 02465 United States",,Pharmaceuticals,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/ABOS?tab=profile,https://www.marketwatch.com/investing/stock/ABOS/company-profile?mod=mw_quote_tab"
ABP,Abpro Holdings Inc Common Stock,19504550.00,Jin Wook Suk,,"6 St Johns Lane, Floor 5 New York, NY 10013 United States",,,CNBCScraper,https://www.cnbc.com/quotes/ABP?tab=profile
ABPWW,Abpro Holdings Inc. Warrant,4393133.00,Jin Wook Suk,,"6 St Johns Lane, Floor 5 New York, NY 10013 United States",,,CNBCScraper,https://www.cnbc.com/quotes/ABPWW?tab=profile
ABR,Arbor Realty Trust Common Stock,2198005162.00,Ivan Kaufman,659,"SUITE 900, 333 EARLE OVINGTON BOULEVARD Uniondale, NY 11553 United States",,Mortgage REITs,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ABR/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ABR?tab=profile"
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,,,,,,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,,,,,,,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,,,,,,,,
